place,url,name,note,address,description,insee,lat,lon,date,rainw_mean,tw_mean,lat_h,lon_h
Gorges du Verdon,https://www.booking.com/hotel/fr/studio-arc-en-ciel.fr.html,L'Arc en Ciel,9.1,"80 Chemin du Plan, 04800 Gréoux-les-Bains, France","L’établissement L'Arc en Ciel se situe à 17 km de ce lieu d’intérêt : Agence ITER de Cadarache. Il possède une connexion Wi-Fi gratuite et un parking privé gratuit.

Les hébergements sont dotés d’une terrasse et d’une télévision à écran plat. Leur salle de bains privative comprend une douche. Un réfrigérateur, un four et un micro-ondes sont également à disposition dans la cuisine, de même qu’une machine à café.

Vous séjournerez à 23 km de ce lieu d’intérêt : Golf du Luberon. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 80 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.75664,5.87664
Gorges du Verdon,https://www.booking.com/hotel/fr/du-vieux-chateau.fr.html,Le Vieux Château,7.5,"Place de la Fontaine, 83630 Aiguines, France","Occupant un bâtiment du XVIIIe siècle, Le Vieux Château propose des chambres avec connexion Wi-Fi gratuite, un bar et une terrasse. Situé dans le centre d'Aiguines, il s'ouvre sur une place de style provençal avec des bars et des boutiques.

Offrant une vue sur le village, toutes les chambres sont situées au 2ème étage et comprennent une salle de bains privative avec sèche-cheveux, douche et articles de toilette gratuits.

Un petit-déjeuner français est servi chaque matin. Vous pourrez également déguster une glace au bar ou déguster l'une des spécialités provençales proposées au restaurant de l'hôtel, qui est fermé le jeudi soir et le vendredi toute la journée.

Vous pourrez faire de la voile sur le lac Sainte-Croix, à 8 km, ou visiter le musée de la Préhistoire à Quinson, à 40 minutes en voiture. Le Vieux Château est accessible par l'autoroute A51. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.77535,6.24325
Gorges du Verdon,https://www.booking.com/hotel/fr/residence-lou-cigaloun-greoux-les-bains.fr.html,Résidence Lou Cigaloun - ANA LOCATION,9.2,"623 Avenue Jean Moulin, 04800 Gréoux-les-Bains, France","L’établissement Résidence Lou Cigaloun - ANA LOCATION vous accueille à Gréoux-les-Bains (Provence-Alpes-Côte d'Azur), à 18 km de ce lieu d’intérêt : Agence ITER de Cadarache. Il comprend une connexion Wi-Fi gratuite, un barbecue, un jardin et un parking privé gratuit.

Chaque hébergement possède une terrasse, un coin repas et une télévision à écran plat. Vous bénéficierez également d’une cuisine comprenant un réfrigérateur, ainsi que d’une salle de bains privative comportant une douche et un sèche-cheveux. Un four, un micro-ondes et une plaque de cuisson sont également à votre disposition, de même qu’une machine à café et une bouilloire.

Si vous souhaitez découvrir la région, vous aurez la possibilité de pratiquer la randonnée, la pêche et le vélo dans les environs.

Vous séjournerez à 22 km de ce lieu d’intérêt : Golf du Luberon. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 80 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.75627,5.88049
Gorges du Verdon,https://www.booking.com/hotel/fr/l-39-establoun.fr.html,L'Establoun,9.5,"Chemin de la Palud - D82, 04800 Saint-Martin-de-Brômes, France","L’hébergement L'Establoun se trouve à Saint-Martin-de-Brômes, à respectivement 24 km et 28 km de ces lieux d’intérêt : Agence ITER de Cadarache et Golf du Luberon. Il propose une connexion Wi-Fi gratuite, la climatisation, une piscine extérieure ouverte en saison et une terrasse. Cet hébergement met à votre disposition une piscine privée et un parking privé gratuit.

Cet appartement comprend une télévision à écran plat par satellite. La cuisine est pourvue d’un réfrigérateur, d’un four et d’un micro-ondes. Elle est également dotée d’une machine à café et d’une bouilloire.

Si vous souhaitez découvrir la région, vous aurez la possibilité de pratiquer la randonnée dans les environs.

Vous séjournerez à 49 km de ce lieu d’intérêt : Golf de Digne-les-Bains. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 96 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.76921,5.94973
Gorges du Verdon,https://www.booking.com/hotel/fr/hotellouparadou.fr.html,Hôtel & Résidence Lou Paradou Gréoux Les Bains,8.8,"Route de Valensole, 04800 Gréoux-les-Bains, France","L'hôtel Hôtel & Résidence Lou Paradou Gréoux Les Bains vous accueille à Gréoux-les-Bains, au bord du Verdon, au milieu des champs de lavande du cœur de la Provence. Situé dans un grand parc, l'établissement dispose d'une piscine extérieure chauffée, ouverte en saison.

Le Hôtel & Résidence Lou Paradou Gréoux Les Bains propose des studios climatisés équipés d'une kitchenette, d'une connexion Wi-Fi gratuite et d'une terrasse ou d'un balcon privés. Certains studios offrent une vue sur le parc et tous sont climatisés.

Un petit-déjeuner buffet continental est servi tous les jours de 7h00 à 10h00. L'hôtel se trouve à seulement 400 mètres du centre piétonnier du village de Gréoux et un parking gratuit est disponible sur place.

Lors de votre séjour, vous pourrez découvrir les gorges du Verdon, le plus grand canyon d'Europe, et les villages du Lubéron ainsi que ceux de Haute-Provence, perchés sur les collines. Dans les environs de Gréoux, vous pourrez pratiquer des activités telles que la randonnée, le VTT, la descente en eaux vives, le parapente et l'escalade.

L'aéroport Marseille-Provence se trouve à 80 km, tandis que la gare TGV d'Aix-en-Provence est située à 70 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.76035,5.88891
Gorges du Verdon,https://www.booking.com/hotel/fr/les-framboiseilles.fr.html,Camping White Rock,8.9,"La Lagne, 04120 Castellane, France","L’établissement Camping White Rock se situe à Castellane (Provence-Alpes-Côte d'Azur), à 17 km de ce lieu d’intérêt : Golf du Château de Taulane. Il possède une connexion Wi-Fi gratuite, une aire de jeux pour enfants, un jardin et un parking privé gratuit.

Certains hébergements sont dotés d'une télévision à écran plat par satellite, d'une cuisine entièrement équipée avec un réfrigérateur, ainsi que d'une salle de bains privative avec une douche et un sèche-cheveux.

Cet établissement dispose d’une terrasse.

Vous pourrez jouer au ping-pong sur place, et pratiquer la randonnée dans les environs.

L'aéroport le plus proche (Aéroport de Nice-Côte d'Azur) est à 82 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.84373,6.5431
Gorges du Verdon,https://www.booking.com/hotel/fr/auberge-du-bourguet.fr.html,Auberge du Bourguet,8.7,"Impasse du chateau, 83840 Brenon, France","L’établissement Auberge du Bourguet se trouve à Brenon, à 20 km de ce lieu d’intérêt : Golf du Château de Taulane. Il propose de nombreuses installations, notamment un salon commun, une terrasse et un restaurant. Cet établissement non-fumeurs se situe à 48 km de : Golf de Saint-Endréol.

Tous les hébergements possèdent un bureau. Vous bénéficierez d'une salle de bains privative dotée d’une douche, d'articles de toilette gratuits et d'un sèche-cheveux. Vous profiterez aussi d’une armoire.

L'aéroport le plus proche (Aéroport de Nice-Côte d'Azur) est à 84 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.78327,6.51861
Gorges du Verdon,https://www.booking.com/hotel/fr/holiday-home-la-clorinde.fr.html,La Clorinde,9.1,"chemin du Jas du colombier, 04360 Moustiers-Sainte-Marie, France","Située au cœur d'une oliveraie, à 800 mètres du village de Moustiers, La Clorinde est idéalement située pour découvrir les Gorges du Verdon (1.5Km) et apprécier la beauté du lac de Sainte Croix (3Km) et des champs de lavande.

Les chambres spacieuses, lumineuses, calmes et climatisées offrent une vue sur le jardin et les montagnes.

Petit déjeuner (3 formules), dîner, préparé avec des produits locaux, sera servi sur la terrasse et vous fera apprécier les charmes de la gastronomie provençale.

Nous vous proposons gratuitement un parking et un accès Wifi très puissant. Un service de blanchisserie est également assuré.

Nous parlons 3 langues: français, anglais, espagnol

Toutes vos demandes sont les bienvenues. La Clorinde, havre de paix, fera tout son possible pour que votre séjour en Provence soit une expérience inoubliable. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.83864,6.21733
Gorges du Verdon,https://www.booking.com/hotel/fr/chaux-et-cristal.fr.html,CASA ANANTA Appartements bien-être aux portes du Verdon Refuge slow Life et sensoriel jusqu à 12 pers,9.2,"67 Rue de la Fontaine, 04120 La Garde, France","L’établissement CASA ANANTA Appartements bien-être aux portes du Verdon Refuge slow Life et sensoriel jusqu à 12 pers se situe à La Garde, à 14 km de ce lieu d’intérêt : Golf du Château de Taulane. Il possède des hébergements avec une connexion Wi-Fi gratuite et un coin salon.

Les hébergements comprennent la climatisation et une télévision. Vous bénéficierez d’une cuisine entièrement équipée avec un coin repas, ainsi que d’une salle de bains privative comportant une douche, des articles de toilette gratuits et un sèche-cheveux. Un réfrigérateur, une plaque de cuisson et un grille-pain sont également à disposition, de même qu’une machine à café et une bouilloire.

L'aéroport le plus proche (Aéroport de Nice-Côte d'Azur) est à 79 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.81563,6.64449
Gorges du Verdon,https://www.booking.com/hotel/fr/camping-la-ferme-de-castellane.fr.html,Camping La Ferme de Castellane,9.1,"1451 Chemin de Destourbes, 04120 Castellane, France","Situé dans le village de Castellane, le Camping La Ferme de Castellane est niché sur les berges de la rivière, à moins de 5 minutes de route des gorges du Verdon. L’établissement comprend un terrain de pétanque et une connexion Wi-Fi gratuite dans les parties communes. Sur place, vous pourrez également jouer au ping-pong.

Décorés avec simplicité avec un mobilier en bois, tous les chalets et les mobile homes incluent une télévision par câble et une terrasse privée. Leur salle de bains privative est munie d’une douche. Installés en lisière de la forêt, tous les types d'hébergements offrent des vues sur la montagne.

Sur place et sur demande, vous pourrez profiter d'une variété de massages relaxants.

Toutes les kitchenettes du Camping La Ferme de Castellane sont équipées d’un micro-ondes, d’un réfrigérateur et de plaques de cuisson. Sur place, vous profiterez également d’un barbecue. La propriété dispose d'une piscine chauffée ainsi que d'hébergements insolites.

Une laverie et une aire de jeux pour enfants sont également à votre disposition. Vous pourrez regarder les chaînes du bouquet Canal+ dans la salle de télévision pourvue d’une bibliothèque, d’un baby-foot et de jeux de société.

Le camping se trouve à 2,3 km du cœur de Castellane et à 65 km de Grasse. Tandis que l’établissement marque le point de départ du sentier de randonnée GR 4, vous bénéficierez sur place un parking privé et gratuit.

Du café, du thé et du chocolat chaud sont servis à volonté le matin. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.84596,6.51291
